timestamp,body_fat,muscle_mass
2026-03-01 08:00:00,14.0,74.0
2026-03-02 08:00:00,13.9,74.1
2026-03-03 08:00:00,13.8,74.2
2026-03-04 08:00:00,13.7,74.3
2026-03-05 08:00:00,13.6,74.4
2026-03-06 08:00:00,13.5,74.5
2026-03-07 08:00:00,13.6,74.4
2026-03-08 08:00:00,13.4,74.6
2026-03-09 08:00:00,13.3,74.7
2026-03-10 08:00:00,13.2,74.8
2026-03-11 08:00:00,13.1,74.9
2026-03-12 08:00:00,13.0,75.0
2026-03-13 08:00:00,13.1,74.9
2026-03-14 08:00:00,12.9,75.1
2026-03-15 08:00:00,12.8,75.2
2026-03-16 08:00:00,12.7,75.3
2026-03-17 08:00:00,12.6,75.4
2026-03-18 08:00:00,12.5,75.5
2026-03-19 08:00:00,12.6,75.4
2026-03-20 08:00:00,12.4,75.6
2026-03-21 08:00:00,12.3,75.7
2026-03-22 08:00:00,12.2,75.8
2026-03-23 08:00:00,12.1,75.9
2026-03-24 08:00:00,12.0,76.0
2026-03-25 08:00:00,12.1,75.9
2026-03-26 08:00:00,11.9,76.1
2026-03-27 08:00:00,11.8,76.2
2026-03-28 08:00:00,11.7,76.3
2026-03-29 08:00:00,11.6,76.4
2026-03-30 08:00:00,11.5,76.5
